Word Trial.ID list wordNeighbour N zipf.wordNeighbour len.wordNeighbour bigram.zipf.wordNeighbour old20.wordNeighbour old1.wordNeighbour bigram.zipf.novelWord old20.novelWord old1.novelWord len.novelWord pos_deviation levDistToWordNeigh baseWord Blocco Subject Age Gender Handedness Session List Data OraStart TrialCount Resp Acc rt learning
algebba 11001 A algebra 0 3.120342156 7 6.71 2.45 1 6.51 2.75 1 7 final 1 yes 1 18 23 Female Right Morning A 2018-11-19 10:16:43 2 algebba 1 1.6577 in
algebba 11001 A algebra 0 3.120342156 7 6.71 2.45 1 6.51 2.75 1 7 final 1 yes 1 18 23 Female Right Morning A 2018-11-19 10:16:43 16 algebba 1 1.2574 in
algebba 11001 A algebra 0 3.120342156 7 6.71 2.45 1 6.51 2.75 1 7 final 1 yes 1 6 25 Female Right Morning A 2018-10-08 10:06:46 73 algebba 1 0.8747 in
algebba 11001 A algebra 0 3.120342156 7 6.71 2.45 1 6.51 2.75 1 7 final 1 yes 5 18 23 Female Right Morning A 2018-11-19 10:16:43 28 algebba 1 1.0141 in
algebba 11001 A algebra 0 3.120342156 7 6.71 2.45 1 6.51 2.75 1 7 final 1 yes 1 28 26 Female Right Morning A 2019-01-30 10:01:19 37 algebba 1 0.8827 in
algebba 11001 A algebra 0 3.120342156 7 6.71 2.45 1 6.51 2.75 1 7 final 1 yes 3 10 25 Female Right Morning A 2018-11-02 10:00:35 11 algebba 1 0.996 in
algebba 11001 A algebra 0 3.120342156 7 6.71 2.45 1 6.51 2.75 1 7 final 1 yes 6 28 26 Female Right Morning A 2019-01-30 10:01:19 68 algebba 1 0.6906 in
algebba 11001 A algebra 0 3.120342156 7 6.71 2.45 1 6.51 2.75 1 7 final 1 yes 1 28 26 Female Right Morning A 2019-01-30 10:01:19 27 algebba 1 0.9399 in
algebba 11001 A algebra 0 3.120342156 7 6.71 2.45 1 6.51 2.75 1 7 final 1 yes 4 2 20 Male Right Morning A 2018-09-12 08:46:12 65 algebba 1 0.8164 in
algebba 11001 A algebra 0 3.120342156 7 6.71 2.45 1 6.51 2.75 1 7 final 1 yes 1 12 24 Male Right Morning A 2018-11-05 09:59:30 67 algebba 1 1.2753 in
algebba 11001 A algebra 0 3.120342156 7 6.71 2.45 1 6.51 2.75 1 7 final 1 yes 3 10 25 Female Right Morning A 2018-11-02 10:00:35 3 algebba 1 0.9953 in
algebba 11001 A algebra 0 3.120342156 7 6.71 2.45 1 6.51 2.75 1 7 final 1 yes 3 10 25 Female Right Morning A 2018-11-02 10:00:35 4 algebba 1 0.9677 in
algebba 11001 A algebra 0 3.120342156 7 6.71 2.45 1 6.51 2.75 1 7 final 1 yes 4 12 24 Male Right Morning A 2018-11-05 09:59:30 45 algebba 1 1.1533 in
algebba 11001 A algebra 0 3.120342156 7 6.71 2.45 1 6.51 2.75 1 7 final 1 yes 2 28 26 Female Right Morning A 2019-01-30 10:01:19 39 algebba 1 0.7641 in
algebba 11001 A algebra 0 3.120342156 7 6.71 2.45 1 6.51 2.75 1 7 final 1 yes 2 2 20 Male Right Morning A 2018-09-12 08:46:12 74 algebba 1 0.7222 in
algebba 11001 A algebra 0 3.120342156 7 6.71 2.45 1 6.51 2.75 1 7 final 1 yes 1 10 25 Female Right Morning A 2018-11-02 10:00:35 37 algebba 1 1.345 in
algebba 11001 A algebra 0 3.120342156 7 6.71 2.45 1 6.51 2.75 1 7 final 1 yes 5 10 25 Female Right Morning A 2018-11-02 10:00:35 20 algebba 1 1.1286 in
algebba 11001 A algebra 0 3.120342156 7 6.71 2.45 1 6.51 2.75 1 7 final 1 yes 5 28 26 Female Right Morning A 2019-01-30 10:01:19 17 algebba 1 1.3504 in
algebba 11001 A algebra 0 3.120342156 7 6.71 2.45 1 6.51 2.75 1 7 final 1 yes 3 2 20 Male Right Morning A 2018-09-12 08:46:12 34 algebba 1 0.8067 in
algebba 11001 A algebra 0 3.120342156 7 6.71 2.45 1 6.51 2.75 1 7 final 1 yes 1 12 24 Male Right Morning A 2018-11-05 09:59:30 9 algebba 1 1.0049 in
algebba 11001 A algebra 0 3.120342156 7 6.71 2.45 1 6.51 2.75 1 7 final 1 yes 3 2 20 Male Right Morning A 2018-09-12 08:46:12 71 algebba 1 0.6969 in
algebba 11001 A algebra 0 3.120342156 7 6.71 2.45 1 6.51 2.75 1 7 final 1 yes 5 6 25 Female Right Morning A 2018-10-08 10:06:46 36 algebba 1 0.82 in
algebba 11001 A algebra 0 3.120342156 7 6.71 2.45 1 6.51 2.75 1 7 final 1 yes 5 2 20 Male Right Morning A 2018-09-12 08:46:12 49 algebba 1 0.792 in
algebba 11001 A algebra 0 3.120342156 7 6.71 2.45 1 6.51 2.75 1 7 final 1 yes 1 6 25 Female Right Morning A 2018-10-08 10:06:46 52 algebba 1 0.8988 in
algebba 11001 A algebra 0 3.120342156 7 6.71 2.45 1 6.51 2.75 1 7 final 1 yes 2 28 26 Female Right Morning A 2019-01-30 10:01:19 50 algebba 1 0.8041 in
algebba 11001 A algebra 0 3.120342156 7 6.71 2.45 1 6.51 2.75 1 7 final 1 yes 1 6 25 Female Right Morning A 2018-10-08 10:06:46 15 algebba 1 0.9204 in
algebba 11001 A algebra 0 3.120342156 7 6.71 2.45 1 6.51 2.75 1 7 final 1 yes 4 10 25 Female Right Morning A 2018-11-02 10:00:35 27 algebba 1 0.8561 in
algebba 11001 A algebra 0 3.120342156 7 6.71 2.45 1 6.51 2.75 1 7 final 1 yes 4 12 24 Male Right Morning A 2018-11-05 09:59:30 73 algebba 1 0.9684 in
algebba 11001 A algebra 0 3.120342156 7 6.71 2.45 1 6.51 2.75 1 7 final 1 yes 2 28 26 Female Right Morning A 2019-01-30 10:01:19 12 algebba 1 0.6678 in
algebba 11001 A algebra 0 3.120342156 7 6.71 2.45 1 6.51 2.75 1 7 final 1 yes 2 12 24 Male Right Morning A 2018-11-05 09:59:30 12 algebba 1 0.8526 in
algebba 11001 A algebra 0 3.120342156 7 6.71 2.45 1 6.51 2.75 1 7 final 1 yes 2 6 25 Female Right Morning A 2018-10-08 10:06:46 70 algebba 1 0.954 in
algebba 11001 A algebra 0 3.120342156 7 6.71 2.45 1 6.51 2.75 1 7 final 1 yes 5 6 25 Female Right Morning A 2018-10-08 10:06:46 50 algebba 1 0.8033 in
algebba 11001 A algebra 0 3.120342156 7 6.71 2.45 1 6.51 2.75 1 7 final 1 yes 6 2 20 Male Right Morning A 2018-09-12 08:46:12 48 algebba 1 0.6067 in
algebba 11001 A algebra 0 3.120342156 7 6.71 2.45 1 6.51 2.75 1 7 final 1 yes 1 18 23 Female Right Morning A 2018-11-19 10:16:43 35 algebba 1 0.9978 in
algebba 11001 A algebra 0 3.120342156 7 6.71 2.45 1 6.51 2.75 1 7 final 1 yes 3 12 24 Male Right Morning A 2018-11-05 09:59:30 67 algebba 1 0.833 in
algebba 11001 A algebra 0 3.120342156 7 6.71 2.45 1 6.51 2.75 1 7 final 1 yes 2 2 20 Male Right Morning A 2018-09-12 08:46:12 45 algebba 1 1.1431 in
algebba 11001 A algebra 0 3.120342156 7 6.71 2.45 1 6.51 2.75 1 7 final 1 yes 3 10 25 Female Right Morning A 2018-11-02 10:00:35 29 algebba 1 0.9209 in
algebba 11001 A algebra 0 3.120342156 7 6.71 2.45 1 6.51 2.75 1 7 final 1 yes 2 28 26 Female Right Morning A 2019-01-30 10:01:19 22 algebba 1 0.6875 in
algebba 11001 A algebra 0 3.120342156 7 6.71 2.45 1 6.51 2.75 1 7 final 1 yes 5 6 25 Female Right Morning A 2018-10-08 10:06:46 57 algebba 1 0.8247 in
algebba 11001 A algebra 0 3.120342156 7 6.71 2.45 1 6.51 2.75 1 7 final 1 yes 3 28 26 Female Right Morning A 2019-01-30 10:01:19 42 algebba 1 0.728 in
algebba 11001 A algebra 0 3.120342156 7 6.71 2.45 1 6.51 2.75 1 7 final 1 yes 2 6 25 Female Right Morning A 2018-10-08 10:06:46 49 algebba 1 0.8936 in
algebba 11001 A algebra 0 3.120342156 7 6.71 2.45 1 6.51 2.75 1 7 final 1 yes 6 12 24 Male Right Morning A 2018-11-05 09:59:30 33 algebba 1 0.8129 in
algebba 11001 A algebra 0 3.120342156 7 6.71 2.45 1 6.51 2.75 1 7 final 1 yes 5 10 25 Female Right Morning A 2018-11-02 10:00:35 54 algebba 1 0.8349 in
algebba 11001 A algebra 0 3.120342156 7 6.71 2.45 1 6.51 2.75 1 7 final 1 yes 6 12 24 Male Right Morning A 2018-11-05 09:59:30 21 algebba 1 0.7732 in
algebba 11001 A algebra 0 3.120342156 7 6.71 2.45 1 6.51 2.75 1 7 final 1 yes 3 18 23 Female Right Morning A 2018-11-19 10:16:43 8 algebba 1 1.1477 in
algebba 11001 A algebra 0 3.120342156 7 6.71 2.45 1 6.51 2.75 1 7 final 1 yes 4 18 23 Female Right Morning A 2018-11-19 10:16:43 42 algebba 1 1.0348 in
algebba 11001 A algebra 0 3.120342156 7 6.71 2.45 1 6.51 2.75 1 7 final 1 yes 6 2 20 Male Right Morning A 2018-09-12 08:46:12 65 algebba 1 0.6628 in
algebba 11001 A algebra 0 3.120342156 7 6.71 2.45 1 6.51 2.75 1 7 final 1 yes 3 6 25 Female Right Morning A 2018-10-08 10:06:46 37 algebba 1 0.8729 in
algebba 11001 A algebra 0 3.120342156 7 6.71 2.45 1 6.51 2.75 1 7 final 1 yes 3 12 24 Male Right Morning A 2018-11-05 09:59:30 53 algebba 1 0.9834 in
algebba 11001 A algebra 0 3.120342156 7 6.71 2.45 1 6.51 2.75 1 7 final 1 yes 3 2 20 Male Right Morning A 2018-09-12 08:46:12 36 algebba 1 0.7731 in
algebba 11001 A algebra 0 3.120342156 7 6.71 2.45 1 6.51 2.75 1 7 final 1 yes 2 18 23 Female Right Morning A 2018-11-19 10:16:43 33 algebba 1 0.999 in
algebba 11001 A algebra 0 3.120342156 7 6.71 2.45 1 6.51 2.75 1 7 final 1 yes 6 18 23 Female Right Morning A 2018-11-19 10:16:43 15 algebba 1 1.0397 in
algebba 11001 A algebra 0 3.120342156 7 6.71 2.45 1 6.51 2.75 1 7 final 1 yes 5 18 23 Female Right Morning A 2018-11-19 10:16:43 7 algebba 1 0.9421 in
algebba 11001 A algebra 0 3.120342156 7 6.71 2.45 1 6.51 2.75 1 7 final 1 yes 5 10 25 Female Right Morning A 2018-11-02 10:00:35 38 algebba 1 0.9557 in
amulero 11003 A amuleto 1 3.319645514 7 6.79 2 1 6.91 2.2 1 7 final 1 yes 4 28 26 Female Right Morning A 2019-01-30 10:01:19 41 amulero 1 0.7525 in
amulero 11003 A amuleto 1 3.319645514 7 6.79 2 1 6.91 2.2 1 7 final 1 yes 5 18 23 Female Right Morning A 2018-11-19 10:16:43 73 amulero 1 1.0915 in
amulero 11003 A amuleto 1 3.319645514 7 6.79 2 1 6.91 2.2 1 7 final 1 yes 3 2 20 Male Right Morning A 2018-09-12 08:46:12 42 amulero 1 0.7982 in
amulero 11003 A amuleto 1 3.319645514 7 6.79 2 1 6.91 2.2 1 7 final 1 yes 4 6 25 Female Right Morning A 2018-10-08 10:06:46 27 amulero 1 0.9468 in
amulero 11003 A amuleto 1 3.319645514 7 6.79 2 1 6.91 2.2 1 7 final 1 yes 1 10 25 Female Right Morning A 2018-11-02 10:00:35 11 amulero 1 1.3776 in
amulero 11003 A amuleto 1 3.319645514 7 6.79 2 1 6.91 2.2 1 7 final 1 yes 4 12 24 Male Right Morning A 2018-11-05 09:59:30 24 amulero 1 0.9422 in
amulero 11003 A amuleto 1 3.319645514 7 6.79 2 1 6.91 2.2 1 7 final 1 yes 6 2 20 Male Right Morning A 2018-09-12 08:46:12 72 amulero 1 0.6757 in
amulero 11003 A amuleto 1 3.319645514 7 6.79 2 1 6.91 2.2 1 7 final 1 yes 5 10 25 Female Right Morning A 2018-11-02 10:00:35 18 amulero 1 0.9313 in
amulero 11003 A amuleto 1 3.319645514 7 6.79 2 1 6.91 2.2 1 7 final 1 yes 5 18 23 Female Right Morning A 2018-11-19 10:16:43 4 amulero 1 0.8782 in
amulero 11003 A amuleto 1 3.319645514 7 6.79 2 1 6.91 2.2 1 7 final 1 yes 3 2 20 Male Right Morning A 2018-09-12 08:46:12 28 amulero 1 0.6431 in
amulero 11003 A amuleto 1 3.319645514 7 6.79 2 1 6.91 2.2 1 7 final 1 yes 2 12 24 Male Right Morning A 2018-11-05 09:59:30 35 amulero 1 0.9493 in
amulero 11003 A amuleto 1 3.319645514 7 6.79 2 1 6.91 2.2 1 7 final 1 yes 4 12 24 Male Right Morning A 2018-11-05 09:59:30 1 amulero 1 0.9849 in
amulero 11003 A amuleto 1 3.319645514 7 6.79 2 1 6.91 2.2 1 7 final 1 yes 1 6 25 Female Right Morning A 2018-10-08 10:06:46 18 amulero 1 0.9789 in
amulero 11003 A amuleto 1 3.319645514 7 6.79 2 1 6.91 2.2 1 7 final 1 yes 2 6 25 Female Right Morning A 2018-10-08 10:06:46 65 amulero 1 0.9595 in
amulero 11003 A amuleto 1 3.319645514 7 6.79 2 1 6.91 2.2 1 7 final 1 yes 1 12 24 Male Right Morning A 2018-11-05 09:59:30 62 amulero 1 1.1376 in
amulero 11003 A amuleto 1 3.319645514 7 6.79 2 1 6.91 2.2 1 7 final 1 yes 4 6 25 Female Right Morning A 2018-10-08 10:06:46 65 amulero 1 0.8827 in
amulero 11003 A amuleto 1 3.319645514 7 6.79 2 1 6.91 2.2 1 7 final 1 yes 3 10 25 Female Right Morning A 2018-11-02 10:00:35 39 amulero 1 0.8322 in
amulero 11003 A amuleto 1 3.319645514 7 6.79 2 1 6.91 2.2 1 7 final 1 yes 6 28 26 Female Right Morning A 2019-01-30 10:01:19 20 amulero 1 0.6909 in
amulero 11003 A amuleto 1 3.319645514 7 6.79 2 1 6.91 2.2 1 7 final 1 yes 6 28 26 Female Right Morning A 2019-01-30 10:01:19 5 amulero 1 0.7532 in
amulero 11003 A amuleto 1 3.319645514 7 6.79 2 1 6.91 2.2 1 7 final 1 yes 6 10 25 Female Right Morning A 2018-11-02 10:00:35 75 amulero 1 1.1048 in
