Word Trial.ID list wordNeighbour N zipf.wordNeighbour len.wordNeighbour bigram.zipf.wordNeighbour old20.wordNeighbour old1.wordNeighbour bigram.zipf.novelWord old20.novelWord old1.novelWord len.novelWord pos_deviation levDistToWordNeigh baseWord Blocco Subject Age Gender Handedness Session List Data OraStart TrialCount rt Resp Acc learning lexicality Index
collepio 11013 A collegio 1 3.686467568 8 6.82 1.75 1 6.81 2.1 1 8 final 1 yes 1 4 22 Male Right Morning A 2018-09-19 13:50:24 1 962 2 1 un novelword 1
inguilla 11005 A anguilla 1 3.016998033 8 6.79 2.1 1 6.77 2.4 1 8 initial 1 yes 1 16 24 Male Right Morning A 2018-11-15 10:03:56 1 905 1 0 un novelword 1
pievra 21025 B piovra 1 2.764954498 6 6.75 1.85 1 6.72 1.8 1 6 middle 1 yes 1 7 21 Male Right Morning B 2018-10-08 13:50:59 1 651 2 1 un novelword 1
scapippo 12045 A NA NA NA NA NA NA NA 6.65 2.75 2 8 NA NA no 1 20 32 Female Right Morning A 2018-12-03 13:26:00 1 1595 1 0 un novelword 1
suomio 12048 A NA NA NA NA NA NA NA 6.64 1.9 1 6 NA NA no 1 14 22 Female Right Morning A 2018-11-12 13:44:47 1 1566 2 1 un novelword 1
tulifano 21029 B tulipano 1 2.614169104 8 6.83 2.45 1 6.79 2.4 1 8 middle 1 yes 1 23 32 Female Right Morning B 2019-01-08 13:42:19 1 1073 1 0 un novelword 1
tullordi 12050 A NA NA NA NA NA NA NA 6.71 3 3 8 NA NA no 1 22 25 Male Right Morning A 2019-01-08 10:00:13 1 976 2 1 un novelword 1
furglie NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 17 24 Male Right Morning B 2018-11-15 14:10:31 1 1478 2 0 un NA 1
onvalto NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 27 20 Female Right Morning B 2019-01-21 13:43:02 1 1061 1 1 un NA 1
servefro NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 8 24 Female Right Morning A 2018-10-16 13:48:31 1 847 2 0 un NA 1
ullotra NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 26 27 Female Right Morning A 2019-01-21 10:01:44 1 903 1 1 un NA 1
ulzare NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 1 28 Male Right Morning B 2018-09-04 10:04:35 1 735 2 0 un NA 1
imbide NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 3 25 Female Right Morning B 2018-09-19 09:54:40 1 1267 2 0 un NA 1
scomenu NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 11 25 Male Right Morning B 2018-11-02 13:41:00 1 909 1 1 un NA 1
amulero 11003 A amuleto 1 3.319645514 7 6.79 2 1 6.91 2.2 1 7 final 1 yes 1 26 27 Female Right Morning A 2019-01-21 10:01:44 2 588 2 1 un novelword 1
aseddoto 11004 A aneddoto 1 3.010467166 8 6.85 2.65 1 6.75 2.8 1 8 initial 1 yes 1 22 25 Male Right Morning A 2019-01-08 10:00:13 2 1984 1 0 un novelword 1
favange 21015 B falange 1 2.533345911 7 6.86 1.85 1 6.76 2.15 1 7 middle 1 yes 1 1 28 Male Right Morning B 2018-09-04 10:04:35 2 887 1 0 un novelword 1
fomirto 12038 A NA NA NA NA NA NA NA 6.73 2.45 2 7 NA NA no 1 14 22 Female Right Morning A 2018-11-12 13:44:47 2 1702 1 0 un novelword 1
frutirca 12040 A NA NA NA NA NA NA NA 6.69 2.95 2 8 NA NA no 1 8 24 Female Right Morning A 2018-10-16 13:48:31 2 1291 1 0 un novelword 1
gannolo 21007 B cannolo 1 2.689233784 7 6.91 1.95 1 6.86 1.95 1 7 initial 1 yes 1 17 24 Male Right Morning B 2018-11-15 14:10:31 2 1336 2 1 un novelword 1
gerilla 11019 A gorilla 1 3.749031532 7 6.89 1.85 1 6.98 1.8 1 7 initial 1 yes 1 20 32 Female Right Morning A 2018-12-03 13:26:00 2 1724 1 0 un novelword 1
scatra 22045 B NA NA NA NA NA NA NA 7 1.6 1 6 NA NA no 1 11 25 Male Right Morning B 2018-11-02 13:41:00 2 737 2 1 un novelword 1
spitana 12047 A NA NA NA NA NA NA NA 6.93 1.95 1 7 NA NA no 1 16 24 Male Right Morning A 2018-11-15 10:03:56 2 1119 1 0 un novelword 1
vimitodi 22050 B NA NA NA NA NA NA NA 6.78 2.8 2 8 NA NA no 1 23 32 Female Right Morning B 2019-01-08 13:42:19 2 1576 2 1 un novelword 1
dratemo NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 4 22 Male Right Morning A 2018-09-19 13:50:24 2 1290 1 1 un NA 1
iscosare NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 3 25 Female Right Morning B 2018-09-19 09:54:40 2 2001 -1 0 un NA 1
matopre NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 27 20 Female Right Morning B 2019-01-21 13:43:02 2 1558 1 1 un NA 1
ordotti NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 7 21 Male Right Morning B 2018-10-08 13:50:59 2 701 1 1 un NA 1
antensa 11007 A antenna 1 3.425187354 7 7.02 1.95 1 7.01 1.9 1 7 final 1 yes 1 22 25 Male Right Morning A 2019-01-08 10:00:13 3 1919 1 0 un novelword 1
bottefa 21006 B bottega 0 3.468532444 7 6.76 1.95 1 6.89 1.95 1 7 final 1 yes 1 3 25 Female Right Morning B 2018-09-19 09:54:40 3 1889 2 1 un novelword 1
